Day,Stage,Action_Type,Attempt_or_Chain_Step,Template_Name,Business_Day_Offset,Notes
0,Marketing Qualification,Call,1,,0,Sequence entry. Subject 'Marketing Qualification Call 1'. Due same day.
0,Marketing Qualification,Email,1,Marketing Qualification Email 1,0,Sends only on Neutral/No Answer outcome of Call 1.
2,Marketing Qualification,Call,2,,+2 business days,Created by handleCallOutcome after Call 1 Neutral/No Answer.
2,Marketing Qualification,Email,2,Marketing Qualification Email 2,+2 business days,Sends only on Neutral/No Answer outcome of Call 2.
4,Marketing Qualification,Call,3,,+2 business days,
4,Marketing Qualification,Email,3,Marketing Qualification Email 3,+2 business days,
6,Marketing Qualification,Call,4,,+2 business days,
6,Marketing Qualification,Email,4,Marketing Qualification Email 4,+2 business days,
8,Marketing Qualification,Call,5,,+2 business days,Final phone attempt.
8,Marketing Qualification,Email,5,Marketing Qualification Email 5,+2 business days,
10,Marketing Qualification,Email,Chain 1,Marketing Qualification Post-Call Email Chain 1,+2 business days after Email 5,Post-call chain begins.
13,Marketing Qualification,Email,Chain 2,Marketing Qualification Post-Call Email Chain 2,+3 calendar days,
16,Marketing Qualification,Email,Chain 3,Marketing Qualification Post-Call Email Chain 3,+3 calendar days,
19,Marketing Qualification,Email,Chain 4,Marketing Qualification Post-Call Email Chain 4,+3 calendar days,
22,Marketing Qualification,Email,Chain 5,Marketing Qualification Post-Call Email Chain 5,+3 calendar days,
25,Marketing Qualification,Email,Chain 6,Marketing Qualification Post-Call Email Chain 6,+3 calendar days,
28,Marketing Qualification,Email,Chain 7,Marketing Qualification Post-Call Email Chain 7,+3 calendar days,Sequence Status = Completed after this.
0,Demo Booking,Call,1,,0,Sequence entry. Subject 'Demo Booking Call 1'.
0,Demo Booking,Email,1,Demo Booking Email 1,0,Sends only on Neutral/No Answer.
2,Demo Booking,Call,2,,+2 business days,
2,Demo Booking,Email,2,Demo Booking Email 2,+2 business days,
4,Demo Booking,Call,3,,+2 business days,
4,Demo Booking,Email,3,Demo Booking Email 3,+2 business days,
6,Demo Booking,Call,4,,+2 business days,
6,Demo Booking,Email,4,Demo Booking Email 4,+2 business days,
8,Demo Booking,Call,5,,+2 business days,
8,Demo Booking,Email,5,Demo Booking Email 5,+2 business days,
10,Demo Booking,Email,Chain 1,Demo Booking Post-Call Email Chain 1,+2 business days after Email 5,
13,Demo Booking,Email,Chain 2,Demo Booking Post-Call Email Chain 2,+3 calendar days,
16,Demo Booking,Email,Chain 3,Demo Booking Post-Call Email Chain 3,+3 calendar days,
19,Demo Booking,Email,Chain 4,Demo Booking Post-Call Email Chain 4,+3 calendar days,
22,Demo Booking,Email,Chain 5,Demo Booking Post-Call Email Chain 5,+3 calendar days,
25,Demo Booking,Email,Chain 6,Demo Booking Post-Call Email Chain 6,+3 calendar days,
28,Demo Booking,Email,Chain 7,Demo Booking Post-Call Email Chain 7,+3 calendar days,
0,Demo Confirmation,Email,Confirmation,Demo Confirmation Email,0,Sends on meeting created (positive Demo Booking outcome). Not gated by call.
-1,Demo Confirmation,Email,Reminder,Demo Confirmation Reminder Email,-1 business day AM,Triggered by Demo Reminder Send At. Protects attendance.
0,Demo Confirmation,Email,NoShow,Demo Confirmation No-Show Email,0,Triggered only on Demo Outcome = No Show.
2,Demo Confirmation,Email,Chain 1,Demo Confirmation Post-Call Email Chain 1,+2 business days after No Show,
5,Demo Confirmation,Email,Chain 2,Demo Confirmation Post-Call Email Chain 2,+3 calendar days,
8,Demo Confirmation,Email,Chain 3,Demo Confirmation Post-Call Email Chain 3,+3 calendar days,
11,Demo Confirmation,Email,Chain 4,Demo Confirmation Post-Call Email Chain 4,+3 calendar days,
14,Demo Confirmation,Email,Chain 5,Demo Confirmation Post-Call Email Chain 5,+3 calendar days,
17,Demo Confirmation,Email,Chain 6,Demo Confirmation Post-Call Email Chain 6,+3 calendar days,
20,Demo Confirmation,Email,Chain 7,Demo Confirmation Post-Call Email Chain 7,+3 calendar days,
0,Demo Hosted,Email,Post-Demo,Demo Hosted Post-Demo Email,0,Triggered on Demo Outcome = Attended - Qualified. Also creates Draft Commercials task.
0,Demo Hosted,Call,1,,0,Sequence entry after Demo Hosted.
0,Demo Hosted,Email,1,Demo Hosted Email 1,0,On Neutral/No Answer.
2,Demo Hosted,Call,2,,+2 business days,
2,Demo Hosted,Email,2,Demo Hosted Email 2,+2 business days,
4,Demo Hosted,Call,3,,+2 business days,
4,Demo Hosted,Email,3,Demo Hosted Email 3,+2 business days,
6,Demo Hosted,Email,CommercialsTerms,Commercial Agreement Terms Email,Triggered by Commercials Status = Sent,Boundary email; advances Stage to Commercial Agreement.
8,Demo Hosted,Email,Chain 1,Demo Hosted Post-Call Email Chain 1,+2 business days,
11,Demo Hosted,Email,Chain 2,Demo Hosted Post-Call Email Chain 2,+3 calendar days,
14,Demo Hosted,Email,Chain 3,Demo Hosted Post-Call Email Chain 3,+3 calendar days,
17,Demo Hosted,Email,Chain 4,Demo Hosted Post-Call Email Chain 4,+3 calendar days,
20,Demo Hosted,Email,Chain 5,Demo Hosted Post-Call Email Chain 5,+3 calendar days,
23,Demo Hosted,Email,Chain 6,Demo Hosted Post-Call Email Chain 6,+3 calendar days,
26,Demo Hosted,Email,Chain 7,Demo Hosted Post-Call Email Chain 7,+3 calendar days,
0,Commercial Agreement,Call,1,,0,Sequence entry on Commercials Status = Sent. Due +2 business days.
0,Commercial Agreement,Email,1,Commercial Agreement Email 1,0,On Neutral/No Answer.
2,Commercial Agreement,Call,2,,+2 business days,
2,Commercial Agreement,Email,2,Commercial Agreement Email 2,+2 business days,
4,Commercial Agreement,Call,3,,+2 business days,
4,Commercial Agreement,Email,3,Commercial Agreement Email 3,+2 business days,
6,Commercial Agreement,Call,4,,+2 business days,
6,Commercial Agreement,Email,4,Commercial Agreement Email 4,+2 business days,
8,Commercial Agreement,Call,5,,+2 business days,
8,Commercial Agreement,Email,5,Commercial Agreement Email 5,+2 business days,
10,Commercial Agreement,Email,Chain 1,Commercial Agreement Post-Call Email Chain 1,+2 business days,
13,Commercial Agreement,Email,Chain 2,Commercial Agreement Post-Call Email Chain 2,+3 calendar days,
16,Commercial Agreement,Email,Chain 3,Commercial Agreement Post-Call Email Chain 3,+3 calendar days,
