Module,Label,API_Name,Type,Picklist_Values,Required,Reuse_Notes
Deals,Stage,Stage1,Picklist,Marketing Consent;Demo Booking;Demo Booked;Demo Attended;Commercials Sent;Commercials Signed;Onboarding;Renewal,Yes,REUSE existing custom field Stage1 (already has the 8 spec values per v3 code)
Deals,Stage Rank,(derived),Number,1-8,Yes,DO NOT CREATE - derive in Deluge from Stage1 via stageRanks map
Deals,Opportunity,Stage,Picklist,MQL;SQL;FTP;RTP,Yes,REUSE default Zoho Stage field (renamed Opportunity in UI; already holds these values per v3 code)
Deals,State,State,Picklist,Open;Lost;Won,Yes,REUSE existing State field. Automation writes only Open or Lost; Won is a transition event and is never written by code.
Deals,Status,Status,Picklist,New;Working;Closed,Yes,REUSE existing Status field
Deals,Reason For Loss,Reason_For_Loss__s,Picklist,(existing),No,REUSE existing field
Deals,Sequence Status,Sequence_Status,Picklist,Not Started;Initialized;Waiting on Call;Waiting on Meeting;Waiting on Email Trigger;Waiting on Internal Task;Paused;Deferred;Manual Only;Completed;Superseded;Suppressed,Yes,CREATE
Deals,Sequence Action Mode,Sequence_Action_Mode,Picklist,Call First;Email First;Meeting First;Task First;Manual Review First,Yes,CREATE - default Call First
Deals,Active Sequence Stage,Active_Sequence_Stage,Picklist,Marketing Consent;Demo Booking;Demo Booked;Demo Attended;Commercials Sent;Commercials Signed;Onboarding;Renewal,Yes,CREATE
Deals,Active Sequence Attempt,Active_Sequence_Attempt,Number,0-5,Yes,CREATE
Deals,Active Email Chain Step,Active_Email_Chain_Step,Number,0-7,Yes,CREATE
Deals,Next Action Type,Next_Action_Type,Picklist,Call;Automated Email;Meeting;Task;Stage Update;Manual Review,Yes,CREATE
Deals,Next Action Due Date,Next_Action_Due_Date,DateTime,,Yes,CREATE
Deals,Sequence Paused Until,Sequence_Paused_Until,DateTime,,Yes,CREATE
Deals,Sequence Superseded At,Sequence_Superseded_At,DateTime,,Yes,CREATE
Deals,Automation Suppressed,Automation_Suppressed,Checkbox,true;false,Yes,CREATE
Deals,Suppression Reason,Suppression_Reason,Picklist,Existing Client;Existing Open Conversation;Partner Managed;Bad Data;Do Not Contact;Duplicate;Imported Historical Record;Manual Handling Required;Legal/Compliance;Stage Incorrect,Yes,CREATE
Deals,Demo Meeting ID,Demo_Meeting_ID,Text,,Yes,CREATE - stores related Event ID
Deals,Demo Start DateTime,Demo_Start_DateTime,DateTime,,Yes,CREATE
Deals,Demo End DateTime,Demo_End_DateTime,DateTime,,Yes,CREATE
Deals,Demo Reminder Send At,Demo_Reminder_Send_At,DateTime,,Yes,CREATE - one business day before AM
Deals,Demo Status,Demo_Status,Picklist,Not Scheduled;Scheduled;Confirmed;Rescheduled;Cancelled;Completed;No Show,Yes,CREATE
Deals,Demo Outcome,Demo_Outcome,Picklist,Scheduled;Attended - Qualified;Attended - Needs Follow-up;Attended - Not Qualified;No Show;Rescheduled;Cancelled;Commercials Requested;Follow-up Required,Yes,CREATE
Deals,Commercials Status,Commercials_Status,Picklist,Not Started;Drafting;Ready to Send;Sent;Discussed;Intent to Sign;Signed;Deferred;Rejected,Yes,CREATE
Deals,Commercials Sent At,Commercials_Sent_At,DateTime,,Yes,CREATE - starts FTP follow-up
Deals,Commercials Discussed At,Commercials_Discussed_At,DateTime,,Yes,CREATE
Deals,Commercial Outcome,Commercial_Outcome,Picklist,Intent to Sign;Needs Review;Deferred;Rejected;No Answer;Signed,Yes,CREATE
Deals,Next Comm Follow-Up Date,Next_Comm_Follow_Up_Date,DateTime,,Yes,CREATED (label shortened from 'Next Commercial Follow-Up Date' due to 25-char limit)
Deals,Comm Follow-Up Reason,Comm_Follow_Up_Reason,Picklist,Budget Timing;Board Approval;Legal Review;Procurement;Asked To Defer;No Response;Other,No,CREATED (label shortened from 'Commercial Follow-Up Reason')
Deals,Intent To Sign,Intent_To_Sign,Checkbox,true;false,Yes,CREATE
Deals,Expected Signature Date,Expected_Signature_Date,Date,,No,CREATE
Deals,Signed At,Signed_At,DateTime,,Yes,CREATE
Deals,Seq Thread Message ID,Seq_Thread_Message_ID,Text,,Yes,CREATED (label shortened from 'Sequence Thread Message ID')
Deals,Last Email Message ID,Last_Email_Message_ID,Text,,Yes,CREATE - email threading reference
Deals,Last Email Template,Last_Email_Template,Text,,No,CREATE - audit
Deals,Last Email Sent At,Last_Email_Sent_At,DateTime,,No,CREATE - timing logic
Deals,Product Resolution Status,Product_Resolution_Status,Picklist,Not Started;Resolved;Missing Product Interest;Failed;Manual Review;No Active Product Match,Yes,CREATE
Deals,Deal Value Source,Deal_Value_Source,Picklist,Product Derived;Manual;Imported;Estimated;Unknown,No,CREATE
Deals,Associated Product IDs,Associated_Product_IDs,Multi-line Text,,No,CREATE - debug reference
Calls,(use What_Id + $se_module=Deals),What_Id,Lookup: polymorphic,,Yes,REUSE - Zoho Activities modules do NOT allow custom Lookup fields; use built-in What_Id with $se_module='Deals'
Calls,Sequence Managed,Sequence_Managed,Picklist,Yes;No,Yes,CREATED as Yes/No picklist (Activities modules disallow Boolean type)
Calls,Sequence Stage,Sequence_Stage,Picklist,Marketing Consent;Demo Booking;Demo Booked;Demo Attended;Commercials Sent;Commercials Signed;Onboarding;Renewal,Yes,CREATED on Calls (shared across Activities sub-modules: visible on Events/Tasks too)
